Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Debt/Equity,Good/Bad
SC557502,3,1,2,0,2,1,1,2,0.1,1
05663655,21,3,18,0,1,1,0,1,0.1,1
SC127950,48,5,43,0,0,0,0,0,0.1,1
08656711,1,0,1,0,1,1,0,0,0.0,0
03764784,6,0,6,0,2,1,1,0,15.005586592178771,0
SC064099,6,2,4,0,1,1,0,1,0.1,1
IP031427,0,0,0,0,0,0,0,0,0.1,0
07737899,3,0,3,0,0,0,0,0,0.1,1
09486257,7,5,2,0,0,0,0,0,0.1,1
03023513,14,2,12,0,0,0,0,0,0.1,1
07108297,12,3,9,0,1,1,0,1,0.1,1
07574653,3,2,1,0,1,1,0,0,0.1,1
SC044771,24,3,21,0,1,1,0,1,0.1,1
07060118,3,2,1,0,2,2,0,0,2089.63,0
07614906,27,10,17,0,0,0,0,0,0.1,1
00513001,25,2,23,0,1,1,0,1,0.1,1
OC324954,11,4,7,0,3,3,0,0,0.0,1
02984635,9,2,7,0,1,1,0,0,44477.666666666664,1
06450348,5,3,2,0,1,1,0,0,70.38582677165354,0
05174985,19,0,19,1,0,0,0,0,0.1,1
SC137435,0,0,0,0,0,0,0,0,0.1,1
07704926,2,1,1,0,0,0,0,0,114.39,0
09308505,1,0,1,0,2,2,0,0,24.65,0
SC152243,38,3,35,0,2,1,1,0,0.1,1
01966140,6,0,6,0,0,0,0,0,0.1,0
01188270,6,2,4,0,1,1,0,0,190.041,1
03758317,4,2,2,0,1,1,0,0,0.0,1
11232727,1,1,0,0,2,2,0,0,0.1,0
SC269074,4,0,4,0,0,0,0,0,0.1,0
02066968,17,5,12,0,1,1,0,1,0.0,1
02813058,6,3,3,0,2,2,0,0,0.1,1
05465289,8,2,6,0,2,2,0,0,0.1,1
02215516,4,2,2,0,1,1,0,0,0.01873661670235546,0
02897253,18,4,14,0,1,1,0,1,0.1,1
08250837,4,0,4,0,0,0,0,0,0.0,0
NI022600,13,7,6,0,0,0,0,0,0.09609629629629629,0
SC165734,12,8,4,0,1,1,0,1,0.1,1
01998668,5,2,3,0,2,2,0,0,0.605,0
00544603,2,2,0,0,0,0,0,0,0.1,0
09902119,4,2,2,0,3,1,2,1,2725.25,1
06470388,6,2,4,0,1,1,0,0,3362.0,1
00067112,19,0,19,0,0,0,0,0,0.1,1
02917073,10,2,8,0,2,2,0,1,1.107168,1
10568948,4,3,1,0,2,1,1,1,15523.85,1
OC309308,75,0,75,0,0,0,0,0,0.1,1
08768109,1,1,0,0,1,1,0,0,5.215602805099366,1
02102777,29,3,26,0,1,1,0,1,0.1,1
09670952,2,2,0,0,2,2,0,0,0.21466664944925815,1
08613854,7,5,2,2,3,1,2,1,0.1,0
05960394,6,5,1,0,2,1,1,0,1410.91,0
02180132,41,7,34,0,0,0,0,0,17.774285714285714,0
06922092,6,3,3,0,2,2,0,2,0.0,1
SC284506,5,0,5,0,2,1,1,0,0.0,1
03856232,5,3,2,0,2,2,0,0,0.1,0
SC328830,4,0,4,1,0,0,0,0,0.1,1
06032270,14,3,11,0,1,1,0,1,0.1,1
04153147,7,3,4,0,0,0,0,0,0.0,0
04951507,13,0,13,0,0,0,0,0,0.1,1
11842739,1,1,0,0,1,1,0,0,0.1,0
CE004960,0,0,0,0,0,0,0,0,0.1,0
07430058,2,0,2,0,0,0,0,0,0.1,1
03792840,23,0,23,0,0,0,0,0,0.1,1
NC000670,5,3,2,0,1,1,0,0,0.1,0
05045523,22,2,20,0,0,0,0,0,0.1,1
11064223,2,2,0,0,1,1,0,0,0.1,1
07469330,38,21,17,0,1,1,0,1,0.1,1
06636624,15,3,12,0,1,1,0,1,0.1,1
06305698,7,0,7,0,2,2,0,0,-0.9987736946275174,1
07329930,11,5,6,0,1,1,0,1,0.1,1
02835230,41,4,37,0,1,1,0,1,0.1,1
05924990,9,8,1,0,0,0,0,0,0.1,1
03470398,54,12,42,0,0,0,0,0,0.1,1
04087860,3,2,1,0,1,1,0,0,0.1,1
