Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Good/Bad
00196206,33,5,28,0,1,1,0,1,1
00199120,67,9,58,0,1,1,0,1,1
00199193,35,4,31,0,2,2,0,2,1
00200575,43,0,43,0,0,0,0,0,1
00200794,33,5,28,0,2,2,0,2,1
00202872,3,2,1,0,1,1,0,0,0
00203742,40,5,35,0,1,1,0,1,1
00208991,109,13,96,0,0,0,0,0,0
00209335,23,5,18,0,0,0,0,0,1
00209905,60,6,54,0,1,1,0,1,1
00210144,9,5,4,0,0,0,0,0,0
00213026,30,5,25,0,1,1,0,1,1
00216055,14,6,8,0,0,0,0,0,1
00217506,69,8,61,0,2,2,0,0,0
00217768,30,2,28,0,0,0,0,0,1
00218277,18,6,12,0,1,1,0,0,0
00218497,38,0,38,0,2,2,0,1,1
00218550,27,4,23,0,1,1,0,1,1
00218826,50,5,45,0,2,2,0,2,1
00219173,5,0,5,0,0,0,0,0,1
00220596,6,3,3,0,0,0,0,0,0
00221321,29,7,22,0,1,1,0,0,0
00221623,31,3,28,0,1,1,0,1,0
00221722,42,3,39,0,1,1,0,1,1
00224411,33,10,23,0,1,1,0,0,1
00224705,21,8,13,0,0,0,0,0,0
00227550,16,0,16,0,0,0,0,0,1
00227669,38,3,35,0,1,1,0,1,1
00228812,5,4,1,0,2,2,0,0,0
00229231,50,4,46,0,1,1,0,1,1
00231961,20,5,15,0,1,1,0,1,1
00232646,13,3,10,0,0,0,0,0,1
00235384,17,8,9,0,0,0,0,0,0
00235874,11,5,6,0,1,1,0,0,0
00236040,25,0,25,0,0,0,0,0,1
00237095,36,0,36,0,0,0,0,0,1
00237558,48,6,42,0,1,1,0,1,1
00238567,32,5,27,0,1,1,0,1,1
00239652,27,5,22,0,1,1,0,1,1
00240613,49,9,40,0,0,0,0,0,0
00241973,25,6,19,0,1,1,0,1,1
00242372,41,8,33,0,1,1,0,1,1
00243708,43,7,36,0,2,2,0,2,1
00243952,28,5,23,0,1,1,0,1,1
00244415,49,9,40,0,2,2,0,2,1
00245156,30,3,27,0,1,1,0,1,1
00245550,21,10,11,0,13,9,4,0,0
00247806,88,9,79,0,0,0,0,0,0
