Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Good/Bad
10011158,2,2,0,0,1,1,0,0,1
10013985,1,0,1,0,0,0,0,0,1
10014085,2,2,0,0,2,2,0,0,0
10014440,6,0,6,0,2,2,0,0,1
10015444,9,3,6,0,1,1,0,1,1
10015556,5,4,1,0,4,4,0,0,0
10015809,1,1,0,0,1,1,0,0,0
10017197,1,1,0,0,1,1,0,1,0
10017774,5,1,4,0,2,2,0,1,1
10017870,1,0,1,0,1,1,0,0,0
10018061,8,3,5,0,1,1,0,1,1
10018095,7,3,4,0,1,1,0,1,1
10020664,2,2,0,0,2,2,0,2,0
10022717,2,2,0,0,2,2,0,0,0
10023161,4,3,1,0,1,1,0,0,1
10023270,1,1,0,0,1,1,0,0,0
10024121,9,5,4,0,1,1,0,0,0
10026284,2,2,0,0,0,0,0,0,0
10026874,2,2,0,0,1,1,0,1,0
10028674,1,0,1,0,1,1,0,0,0
10028724,2,0,2,0,0,0,0,0,0
10028946,2,2,0,0,1,1,0,0,0
10029333,1,0,1,0,1,1,0,0,0
10029369,2,0,2,0,2,2,0,0,0
10029550,5,5,0,0,1,1,0,1,1
10030251,3,1,2,0,1,1,0,0,0
10031467,1,0,1,0,0,0,0,0,0
10033669,1,1,0,0,1,1,0,0,0
10034612,2,2,0,0,2,2,0,0,0
10036848,5,2,3,0,2,2,0,0,0
10037345,4,4,0,0,2,2,0,0,0
10041032,1,1,0,0,1,1,0,0,0
10042606,2,2,0,0,1,1,0,1,0
10042712,3,3,0,0,3,3,0,0,0
10043228,4,4,0,0,3,3,0,0,0
10043631,1,0,1,0,1,1,0,0,0
10044338,2,2,0,0,2,2,0,0,0
10046009,9,4,5,1,1,1,0,1,0
10047890,4,3,1,0,2,1,1,2,1
10049784,1,1,0,0,1,1,0,0,0
10051264,1,1,0,0,1,1,0,0,0
10051674,2,2,0,0,1,1,0,0,0
10051787,4,3,1,0,4,3,1,0,0
10053854,2,0,2,0,2,2,0,0,0
10054063,3,3,0,0,1,1,0,0,0
10054518,14,7,7,0,0,0,0,0,1
10055327,1,1,0,0,1,1,0,0,0
10055482,5,2,3,1,2,1,1,1,1
10055690,4,4,0,0,0,0,0,0,0
10057031,2,0,2,0,1,1,0,0,0
10058183,6,3,3,0,3,1,2,3,1
10059069,6,4,2,0,0,0,0,0,0
10059591,5,3,2,0,1,1,0,1,0
10059923,3,2,1,0,1,1,0,0,0
10060955,2,2,0,0,2,2,0,0,0
10064886,8,7,1,0,1,1,0,1,1
10068168,2,2,0,0,2,2,0,0,0
10068504,2,2,0,0,2,2,0,0,0
10068774,2,2,0,0,1,1,0,1,0
10069094,2,1,1,0,0,0,0,0,0
10070076,1,1,0,0,1,1,0,0,0
10070094,1,1,0,0,1,1,0,1,0
10070814,2,2,0,0,2,2,0,0,0
10072549,2,0,2,0,2,2,0,0,1
10074474,7,4,3,0,5,1,4,1,1
10074707,1,1,0,0,1,1,0,0,0
10075186,1,1,0,0,1,1,0,0,0
10076328,6,4,2,0,1,1,0,1,0
10078396,2,0,2,0,1,1,0,0,0
04670417,9,1,8,0,1,1,0,0,1
04670427,6,0,6,0,0,0,0,0,1
04670795,4,2,2,0,1,1,0,0,0
04670961,8,3,5,0,0,0,0,0,0
04671020,22,2,20,0,1,1,0,1,1
04671563,5,3,2,0,0,0,0,0,0
04671977,7,4,3,0,1,1,0,0,0
04673202,13,4,9,0,2,2,0,0,1
04675657,28,7,21,0,0,0,0,0,0
04675720,14,4,10,0,0,0,0,0,1
04676572,41,0,41,0,1,1,0,1,1
04676590,36,0,36,0,1,1,0,1,1
04676602,35,0,35,0,1,1,0,1,1
04677863,4,0,4,0,1,1,0,0,0
04677925,8,2,6,0,1,1,0,0,1
04678356,4,2,2,0,2,2,0,0,0
04678522,5,3,2,0,2,2,0,0,1
04679298,9,6,3,0,1,1,0,0,1
04679597,9,5,4,0,1,1,0,1,0
04679643,4,1,3,0,2,2,0,0,0
04680088,5,3,2,0,2,2,0,0,0
04680474,5,3,2,0,2,2,0,0,0
04681156,9,4,5,0,0,0,0,0,0
04681724,6,2,4,0,1,1,0,0,0
04682088,19,1,18,0,1,1,0,1,1
04682208,75,29,46,0,0,0,0,0,0
04683163,6,0,6,0,0,0,0,0,0
04683683,18,3,15,0,1,1,0,1,1
04684691,7,3,4,0,1,1,0,0,0
04685252,9,3,6,0,2,2,0,0,0
04686026,8,0,8,0,1,1,0,0,0
04687799,24,4,20,0,0,0,0,0,0
04688545,5,1,4,0,1,1,0,0,0
04689130,26,4,22,0,1,0,1,0,1
04689828,4,3,1,0,2,2,0,0,0
04692388,13,2,11,0,2,2,0,2,1
04693440,5,3,2,0,2,2,0,0,0
04696047,8,3,5,0,1,1,0,0,1
04696505,5,2,3,0,1,1,0,0,1
04696839,27,4,23,0,7,1,6,4,1
04697650,4,2,2,0,1,1,0,1,1
04697839,4,2,2,0,1,1,0,0,1
04699155,10,5,5,0,0,0,0,0,1
04699524,11,2,9,0,11,11,0,11,1
04699779,3,2,1,0,1,1,0,0,0
04701175,5,3,2,0,2,2,0,0,1
04702108,7,2,5,0,1,1,0,0,0
04703224,19,7,12,0,1,1,0,1,1
04704729,4,1,3,0,0,0,0,0,1
04705025,9,2,7,0,1,1,0,0,0
04706060,7,2,5,0,1,1,0,0,1
04706447,10,3,7,0,1,1,0,0,1
04706529,19,0,19,0,0,0,0,0,1
04707422,4,2,2,0,1,1,0,0,0
04708272,8,0,8,0,0,0,0,0,1
04708641,5,0,5,0,0,0,0,0,1
04708897,5,2,3,0,2,2,0,0,0
04708929,5,0,5,0,0,0,0,0,1
04710434,4,1,3,0,1,1,0,0,0
04710574,18,7,11,0,3,1,2,2,1
04712925,11,0,11,0,0,0,0,0,1
04713302,5,0,5,0,2,2,0,0,0
04713417,7,3,4,0,3,3,0,0,0
04713977,7,2,5,0,1,1,0,0,1
04713985,5,2,3,0,1,1,0,0,1
04714039,11,4,7,0,2,2,0,0,1
04715958,21,8,13,0,0,0,0,0,1
04716155,4,2,2,0,2,2,0,0,1
04718208,7,3,4,0,1,1,0,0,0
04719672,8,1,7,0,1,1,0,1,1
04719865,7,3,4,0,2,2,0,0,1
04720439,22,5,17,0,1,1,0,1,1
04720979,5,3,2,0,2,2,0,0,0
04721046,15,2,13,0,2,2,0,0,1
04721742,4,2,2,0,0,0,0,0,0
04723103,6,2,4,0,1,1,0,0,0
04723252,5,2,3,0,2,1,1,0,1
04726360,24,2,22,0,2,2,0,2,1
04726394,4,2,2,0,1,1,0,0,0
04726837,17,4,13,0,1,1,0,1,1
04727693,5,2,3,0,1,1,0,0,1
04727874,29,9,20,0,0,0,0,0,1
04728026,5,1,4,0,2,1,1,0,0
04729593,3,2,1,0,1,1,0,0,0
04730543,4,2,2,0,1,1,0,0,0
04731536,22,0,22,0,0,0,0,0,1
04732063,12,0,12,0,0,0,0,0,1
04733475,12,3,9,0,6,1,5,0,0
04733479,29,0,29,0,1,1,0,1,1
04734422,6,2,4,0,3,1,2,0,1
04736566,23,0,23,0,0,0,0,0,0
04736776,14,4,10,0,0,0,0,0,0
04737491,8,0,8,0,0,0,0,0,1
04738098,21,6,15,0,0,0,0,0,0
04738105,10,2,8,0,0,0,0,0,1
04738167,6,1,5,0,1,1,0,0,0
04738406,17,8,9,0,1,1,0,0,0
04738932,5,2,3,0,1,1,0,0,0
04739205,6,2,4,0,1,1,0,0,0
04739247,5,0,5,0,0,0,0,0,1
04740273,5,3,2,0,2,2,0,0,0
04740289,6,3,3,0,1,1,0,0,1
04740334,5,2,3,0,1,1,0,0,0
04741637,9,0,9,0,0,0,0,0,1
04742072,5,3,2,0,2,2,0,0,0
04742505,13,3,10,0,0,0,0,0,1
04743106,5,1,4,1,1,1,0,1,0
04743602,99,16,83,0,1,1,0,1,1
04743955,4,2,2,0,1,1,0,0,1
04744791,19,0,19,0,0,0,0,0,1
04746877,5,1,4,0,1,1,0,0,0
04747359,12,1,11,0,1,1,0,1,1
04748264,6,3,3,0,2,1,1,2,0
04749705,4,2,2,0,1,1,0,0,0
04752037,11,1,10,0,0,0,0,0,1
04753249,12,4,8,0,0,0,0,0,0
04753552,3,1,2,0,1,1,0,0,0
04754248,4,1,3,0,1,1,0,0,1
04755383,7,0,7,0,1,1,0,0,0
04755625,10,3,7,0,1,1,0,1,1
04758041,5,3,2,0,2,2,0,0,0
04759686,5,3,2,0,2,2,0,0,0
04759878,8,3,5,0,2,2,0,0,1
04759881,10,2,8,0,3,3,0,1,1
04761892,5,3,2,0,1,1,0,0,0
04762392,6,2,4,0,1,1,0,0,0
04763144,3,2,1,0,1,1,0,0,0
04765447,12,0,12,0,0,0,0,0,1
04766099,14,3,11,0,1,1,0,1,1
04768146,7,0,7,0,0,0,0,0,1
04768253,15,0,15,0,0,0,0,0,1
04768918,7,2,5,0,1,1,0,0,1
04770256,27,0,27,0,0,0,0,0,1
04773061,17,4,13,0,2,1,1,0,0
04774825,3,3,0,0,2,2,0,0,0
04777565,7,3,4,0,0,0,0,0,0
04778043,3,2,1,0,1,1,0,0,1
04778508,15,0,15,0,0,0,0,0,0
04778901,4,2,2,0,0,0,0,0,0
04779433,24,4,20,0,0,0,0,0,0
04779767,13,3,10,0,1,1,0,1,1
04780713,18,0,18,0,0,0,0,0,0
04780788,16,7,9,0,2,2,0,1,1
04781346,4,2,2,0,1,1,0,0,1
04781697,3,0,3,0,0,0,0,0,1
04781705,3,0,3,0,0,0,0,0,1
04782079,4,0,4,0,2,2,0,0,1
04783263,22,2,20,0,1,1,0,1,1
04783484,5,3,2,0,2,2,0,0,0
04784399,5,3,2,0,2,2,0,0,0
04784905,7,0,7,0,2,2,0,0,0
04785053,8,1,7,0,0,0,0,0,0
04787262,11,2,9,0,1,1,0,1,1
04787639,58,13,45,0,0,0,0,0,1
04789582,5,3,2,0,1,1,0,0,1
04790426,17,7,10,0,1,1,0,1,1
04791283,24,4,20,0,0,0,0,0,1
04792413,4,1,3,0,1,1,0,0,0
04793167,17,7,10,0,1,1,0,1,1
04793696,10,5,5,0,1,1,0,1,1
04793729,20,3,17,1,1,1,0,1,1
04793815,32,6,26,0,2,2,0,2,1
04794094,20,3,17,0,1,1,0,1,1
04794099,15,3,12,0,1,1,0,1,1
04794682,17,5,12,1,0,0,0,0,0
04795357,11,8,3,0,0,0,0,0,0
04796012,5,3,2,0,1,1,0,0,1
04797154,5,3,2,0,1,1,0,0,1
04797158,11,2,9,0,0,0,0,0,0
04797230,4,2,2,0,1,1,0,0,1
04797346,20,5,15,0,1,1,0,1,1
04798389,12,3,9,0,0,0,0,0,0
04800794,4,2,2,0,1,1,0,0,1
04801204,10,2,8,1,1,1,0,0,1
04802888,5,0,5,0,0,0,0,0,1
04804114,3,2,1,0,2,2,0,2,1
04804475,5,5,0,0,3,1,2,1,0
04804648,5,5,0,0,3,1,2,1,0
04805105,8,1,7,0,3,1,2,0,1
04805781,20,3,17,1,1,1,0,1,1
04806891,9,0,9,0,0,0,0,0,1
04807064,32,7,25,0,0,0,0,0,0
04807288,11,5,6,0,0,0,0,0,1
04807904,30,5,25,0,1,1,0,1,1
04808151,5,3,2,0,2,2,0,0,0
04808335,5,0,5,0,0,0,0,0,1
04808420,8,2,6,0,1,1,0,0,1
04808580,5,3,2,0,2,2,0,0,0
04808853,7,0,7,0,0,0,0,0,1
04808994,6,0,6,0,1,1,0,1,1
04809335,11,2,9,0,1,1,0,1,1
04811451,4,1,3,0,1,1,0,0,0
04812240,4,2,2,0,1,1,0,0,0
04812278,7,3,4,0,0,0,0,0,1
04815067,4,2,2,0,2,2,0,0,1
04815181,43,14,29,0,0,0,0,0,0
04815365,6,3,3,0,2,1,1,0,0
04815525,6,2,4,0,0,0,0,0,0
04816054,8,4,4,0,0,0,0,0,0
04816786,39,8,31,0,0,0,0,0,1
04817448,9,4,5,0,1,1,0,1,1
04818639,7,3,4,0,0,0,0,0,1
04818735,6,1,5,0,1,1,0,0,1
04820602,4,1,3,0,1,1,0,0,1
04822376,5,2,3,0,1,1,0,0,0
04822541,8,4,4,0,1,1,0,0,0
04822997,29,0,29,0,0,0,0,0,1
04824801,7,0,7,0,0,0,0,0,0
04825491,10,0,10,0,0,0,0,0,1
04826778,3,3,0,0,2,2,0,0,0
04827518,5,3,2,0,2,2,0,0,0
04827804,8,5,3,0,3,1,2,1,0
04828050,4,2,2,0,1,1,0,0,0
04829102,6,2,4,0,1,1,0,0,1
04829817,20,3,17,0,4,1,3,2,1
04830735,28,6,22,0,2,1,1,0,0
04833623,23,6,17,0,4,2,2,4,0
04834430,11,2,9,0,1,1,0,1,1
04834434,20,3,17,0,1,1,0,1,1
04834718,3,0,3,0,1,1,0,1,0
04835087,11,2,9,0,1,1,0,1,1
04835820,13,0,13,0,0,0,0,0,1
04836872,19,2,17,0,0,0,0,0,1
04839119,12,3,9,0,1,1,0,1,1
04839409,16,3,13,0,0,0,0,0,1
04840151,4,0,4,0,0,0,0,0,1
04840187,5,3,2,0,2,2,0,0,0
04843280,4,2,2,0,1,1,0,0,0
04844858,6,0,6,0,2,2,0,0,1
04846017,5,3,2,0,1,1,0,0,0
04846353,6,4,2,0,2,2,0,0,0
04848368,6,3,3,0,2,2,0,2,1
04849220,8,3,5,0,4,1,3,1,1
04849998,9,2,7,0,1,1,0,1,1
04850355,6,0,6,0,1,1,0,0,0
04850612,12,0,12,0,0,0,0,0,1
04851498,30,9,21,0,0,0,0,0,1
04851962,4,2,2,0,1,1,0,0,1
04852017,18,3,15,0,1,1,0,1,1
04853184,6,0,6,0,0,0,0,0,0
04854568,4,2,2,0,1,1,0,0,0
04855173,54,16,38,0,0,0,0,0,1
04855333,11,3,8,0,1,1,0,1,1
04857188,4,2,2,0,2,2,0,0,0
04857238,5,3,2,0,2,2,0,0,0
04859399,11,0,11,0,0,0,0,0,1
04859512,8,5,3,1,1,1,0,1,1
04860054,7,1,6,0,2,1,1,0,0
04860660,26,7,19,0,1,1,0,1,1
04860827,8,0,8,0,0,0,0,0,1
04860867,12,3,9,0,1,1,0,1,1
04861200,5,2,3,0,1,1,0,0,0
04863660,5,1,4,0,1,1,0,1,0
04864434,19,3,16,0,1,1,0,1,1
04866132,9,1,8,0,0,0,0,0,0
04867503,20,4,16,2,1,0,1,1,1
04867504,20,4,16,2,1,0,1,1,1
04868329,16,6,10,0,0,0,0,0,1
04868792,15,7,8,0,0,0,0,0,0
04869751,5,3,2,0,2,2,0,0,1
04869878,6,1,5,0,1,1,0,0,0
03680535,26,4,22,0,1,1,0,1,1
03680937,39,3,36,0,1,1,0,1,1
03680951,31,3,28,0,1,1,0,1,1
03681869,12,5,7,0,1,1,0,0,1
03682804,16,2,14,0,1,1,0,1,1
03682822,15,5,10,0,2,1,1,1,0
03682831,12,2,10,0,0,0,0,0,0
03683003,25,7,18,0,1,1,0,0,1
03683292,11,1,10,0,1,1,0,1,1
03684674,6,1,5,0,1,1,0,0,1
03684770,18,3,15,0,1,1,0,1,1
03685684,5,4,1,0,3,3,0,0,1
03685725,4,2,2,0,1,1,0,0,1
03686262,12,0,12,0,1,1,0,0,1
03686284,43,11,32,0,3,3,0,0,0
03687910,54,5,49,0,0,0,0,0,1
03689320,6,4,2,0,2,2,0,0,0
03689584,20,2,18,0,1,1,0,1,1
03690115,10,4,6,0,1,1,0,1,1
03690823,17,4,13,0,0,0,0,0,0
03691898,46,9,37,0,1,1,0,1,1
03692001,20,2,18,0,1,1,0,1,1
03692917,5,1,4,0,1,1,0,0,0
03693914,32,4,28,0,2,2,0,2,1
03694734,7,2,5,0,1,1,0,1,0
03695235,28,10,18,0,0,0,0,0,0
03696164,5,2,3,0,1,1,0,0,0
03696339,21,5,16,0,4,3,1,1,1
03697438,10,3,7,0,1,1,0,0,1
03697505,39,5,34,0,1,1,0,1,1
03698902,5,2,3,0,1,1,0,0,1
03698922,10,3,7,0,1,1,0,1,0
03701224,6,0,6,0,0,0,0,0,1
03702428,35,3,32,0,1,1,0,1,1
03703703,14,3,11,0,4,3,1,1,0
03704346,5,3,2,0,2,2,0,0,1
03704603,6,2,4,0,1,1,0,0,1
03704778,10,0,10,0,0,0,0,0,1
03705788,23,8,15,0,2,2,0,0,0
03706064,18,4,14,0,1,1,0,1,1
03707787,18,3,15,0,1,1,0,1,1
03709565,33,9,24,0,0,0,0,0,0
03709785,30,3,27,0,1,1,0,1,1
03710765,7,2,5,0,1,1,0,0,0
03710781,7,4,3,0,3,3,0,0,0
03712295,8,1,7,0,1,1,0,0,0
03712966,7,3,4,0,1,1,0,1,0
03713679,30,1,29,0,1,1,0,1,1
03714138,6,2,4,0,1,1,0,0,1
03714277,12,2,10,0,1,1,0,1,1
03714669,15,3,12,0,1,1,0,1,0
03715032,16,0,16,0,1,1,0,0,1
03715044,20,4,16,0,1,1,0,1,0
03715387,6,3,3,0,2,2,0,0,0
03715410,36,5,31,0,1,1,0,1,1
03716362,30,4,26,0,1,1,0,1,1
03716519,16,2,14,0,1,1,0,1,1
03719472,18,3,15,0,1,1,0,1,1
03719637,18,0,18,0,0,0,0,0,1
03720217,14,2,12,0,5,5,0,2,1
03720483,8,4,4,0,1,1,0,0,0
03721837,11,4,7,0,3,3,0,0,0
03722939,15,3,12,0,0,0,0,0,1
03723445,9,2,7,0,3,3,0,1,1
03725039,36,4,32,0,1,1,0,1,1
03726292,21,3,18,0,1,1,0,1,1
03726512,5,0,5,0,0,0,0,0,1
03726930,16,6,10,0,2,2,0,2,1
03729073,18,3,15,0,1,1,0,1,1
03729917,16,0,16,0,0,0,0,0,1
03730009,7,0,7,0,0,0,0,0,0
03730131,10,3,7,0,0,0,0,0,0
03730788,7,0,7,0,0,0,0,0,1
03731333,8,0,8,0,0,0,0,0,0
03731439,4,2,2,0,1,1,0,0,1
03732253,23,6,17,0,0,0,0,0,1
03732285,6,2,4,0,1,1,0,0,1
03732993,33,0,33,0,0,0,0,0,0
03733058,22,3,19,0,1,1,0,1,1
03733077,27,3,24,0,1,1,0,1,1
03733088,22,4,18,0,1,1,0,1,1
03734124,4,1,3,0,1,1,0,0,1
03735007,14,4,10,0,2,1,1,1,1
03735154,19,5,14,0,1,1,0,1,1
03735333,5,2,3,0,1,1,0,0,0
03735433,9,1,8,0,1,1,0,1,0
03736485,5,0,5,0,1,1,0,0,0
03736918,24,0,24,0,0,0,0,0,1
03737642,10,2,8,0,1,1,0,0,0
03737678,5,0,5,0,2,2,0,0,1
03738674,28,4,24,0,1,1,0,1,1
03738678,13,0,13,0,2,2,0,0,1
03739124,36,3,33,0,0,0,0,0,1
03739319,9,0,9,0,0,0,0,0,1
03739551,14,2,12,0,2,2,0,2,1
03739954,32,3,29,0,2,1,1,2,1
03740620,14,0,14,0,0,0,0,0,1
03740753,10,1,9,0,1,1,0,1,1
03741198,11,2,9,0,1,1,0,1,1
03741454,13,2,11,0,0,0,0,0,1
03746069,10,0,10,0,0,0,0,0,1
03747176,20,0,20,0,0,0,0,0,1
03747506,16,1,15,0,4,2,2,1,1
03747980,6,2,4,0,2,2,0,0,1
03749062,5,1,4,0,1,1,0,0,1
03749063,17,2,15,0,1,1,0,1,1
03749322,10,4,6,0,1,1,0,1,1
03749323,9,4,5,0,1,1,0,1,1
03749328,10,1,9,0,1,1,0,0,1
03749416,5,0,5,0,1,1,0,0,0
03749576,12,5,7,0,6,6,0,1,1
03751152,6,1,5,0,1,1,0,0,1
03751732,5,3,2,0,2,2,0,0,0
03753345,53,4,49,0,0,0,0,0,1
03753765,12,0,12,0,1,1,0,1,1
03754942,10,6,4,0,1,1,0,1,0
03755033,34,4,30,0,1,1,0,1,1
03755337,5,2,3,0,1,1,0,0,1
03755464,33,0,33,0,1,1,0,1,1
03755701,9,5,4,0,0,0,0,0,0
03756152,32,11,21,0,0,0,0,0,0
03756817,21,2,19,1,1,1,0,1,1
03757200,17,2,15,0,0,0,0,0,1
03757248,29,8,21,0,1,1,0,0,0
03758317,4,2,2,0,1,1,0,0,1
03760824,10,0,10,0,1,1,0,1,1
03761135,22,5,17,0,0,0,0,0,1
03761178,25,3,22,0,1,1,0,1,1
03761194,20,3,17,0,1,1,0,1,1
03761906,6,3,3,0,2,1,1,0,1
03762879,29,5,24,0,0,0,0,0,1
03762890,26,2,24,0,1,1,0,1,1
03764415,8,0,8,0,0,0,0,0,1
03764584,7,0,7,0,0,0,0,0,1
03764784,6,0,6,0,2,1,1,0,0
03767321,13,0,13,0,0,0,0,0,0
03767752,25,0,25,0,0,0,0,0,1
03768392,6,3,3,0,1,1,0,0,0
03768746,9,2,7,0,1,1,0,0,1
03768838,5,2,3,0,2,2,0,0,1
03769269,7,4,3,0,1,1,0,1,1
03769516,5,1,4,0,0,0,0,0,1
03769605,25,0,25,0,0,0,0,0,1
03769694,9,6,3,0,1,1,0,0,0
03769702,24,6,18,0,0,0,0,0,1
03769768,19,7,12,0,0,0,0,0,0
03769775,28,15,13,0,0,0,0,0,1
03770007,17,0,17,0,0,0,0,0,1
03770319,13,7,6,0,6,6,0,0,1
03770430,5,3,2,0,2,2,0,0,1
03770568,17,6,11,0,1,1,0,1,1
03770985,13,9,4,0,4,3,1,1,0
03771108,13,2,11,0,3,2,1,1,1
03771991,31,0,31,0,0,0,0,0,1
03773247,21,0,21,0,0,0,0,0,1
03773737,24,8,16,0,0,0,0,0,0
03773789,37,3,34,0,1,1,0,1,1
03775012,18,4,14,0,1,1,0,1,1
03775122,33,5,28,0,1,1,0,1,1
03775228,6,0,6,0,0,0,0,0,1
03776520,17,5,12,0,1,1,0,1,1
03776523,20,3,17,0,1,1,0,1,1
03776633,18,0,18,1,0,0,0,0,1
03777276,20,0,20,0,1,1,0,1,1
03777280,5,0,5,0,2,2,0,0,1
03778430,5,3,2,0,0,0,0,0,1
03781302,12,4,8,0,2,2,0,0,0
03781498,17,0,17,0,0,0,0,0,1
03782935,23,0,23,0,0,0,0,0,1
03782943,19,0,19,0,0,0,0,0,1
03782947,12,3,9,0,1,1,0,1,1
03783281,14,3,11,0,2,2,0,0,1
03783386,18,5,13,0,2,1,1,1,1
03783920,5,0,5,0,0,0,0,0,1
03784577,15,0,15,0,0,0,0,0,1
03784932,4,2,2,0,1,1,0,0,0
03785049,11,0,11,1,0,0,0,0,0
03786105,7,1,6,0,1,1,0,0,1
03786339,33,0,33,0,0,0,0,0,1
03786387,10,2,8,0,1,1,0,0,1
03786989,29,0,29,0,1,1,0,1,1
03787141,6,3,3,0,2,2,0,1,0
03787294,16,0,16,0,0,0,0,0,1
03787518,20,0,20,0,0,0,0,0,1
03788183,16,3,13,0,1,1,0,1,1
03788862,4,2,2,0,1,1,0,0,0
03788956,20,0,20,0,1,1,0,1,1
03789061,8,2,6,0,1,1,0,0,1
03789231,6,0,6,0,0,0,0,0,1
03789309,4,2,2,0,1,1,0,0,1
03789894,5,0,5,0,1,1,0,0,0
03790871,7,1,6,0,1,1,0,0,1
03791447,4,2,2,0,2,2,0,0,1
03791923,6,3,3,0,2,2,0,0,1
03792408,23,3,20,0,1,1,0,1,1
03792496,11,3,8,0,1,1,0,1,1
03792590,23,0,23,0,0,0,0,0,1
03792886,30,4,26,0,2,1,1,1,1
03792949,8,5,3,0,2,2,0,0,1
03793946,9,5,4,0,0,0,0,0,1
03794679,4,3,1,0,1,1,0,0,0
03795008,10,4,6,0,1,1,0,0,0
03795232,14,5,9,0,0,0,0,0,1
03795868,18,0,18,0,0,0,0,0,1
03795965,11,5,6,0,2,2,0,0,1
03796233,35,4,31,0,1,1,0,1,1
03796951,31,0,31,0,0,0,0,0,1
03798315,5,2,3,0,1,1,0,0,0
03798359,7,2,5,0,1,1,0,0,0
03798891,5,3,2,0,2,2,0,0,1
03800882,16,0,16,0,1,1,0,0,1
03801508,6,1,5,0,1,1,0,0,0
03801700,4,2,2,0,2,2,0,0,1
03801846,5,3,2,0,1,1,0,0,0
03803544,4,1,3,0,1,1,0,0,1
03804593,7,3,4,0,1,1,0,0,1
03804831,10,1,9,0,1,1,0,1,1
03805705,8,0,8,0,0,0,0,0,1
03805708,30,3,27,0,1,1,0,1,1
03806216,22,3,19,0,2,2,0,2,1
03806233,18,4,14,0,1,1,0,1,1
03806342,9,4,5,0,3,3,0,0,1
03806388,11,7,4,0,1,1,0,0,1
03806491,40,5,35,0,4,1,3,1,0
03807559,24,5,19,0,1,1,0,1,1
03807723,9,3,6,0,3,3,0,1,1
03807789,10,4,6,0,1,1,0,0,1
03807883,5,2,3,0,1,1,0,0,0
03808291,22,0,22,0,0,0,0,0,1
03808857,17,3,14,0,1,1,0,1,1
03808866,21,0,21,0,0,0,0,0,1
03808998,14,1,13,1,1,1,0,0,1
03810395,29,0,29,0,1,1,0,1,1
03810841,24,0,24,0,0,0,0,0,1
03810974,34,2,32,0,1,1,0,1,1
03811155,9,0,9,0,0,0,0,0,1
03811720,7,3,4,0,2,2,0,0,1
03812015,39,3,36,0,1,1,0,1,1
03812071,11,4,7,0,3,2,1,0,1
03812646,16,0,16,0,0,0,0,0,1
03813010,10,3,7,0,1,1,0,1,1
03813859,23,5,18,0,1,1,0,1,1
03814008,8,0,8,0,0,0,0,0,1
03814118,12,4,8,0,3,3,0,0,0
03814318,21,6,15,0,1,0,1,0,1
03814724,5,0,5,0,0,0,0,0,1
03815052,41,0,41,0,0,0,0,0,1
03815545,13,0,13,0,1,1,0,0,0
03815604,23,4,19,0,0,0,0,0,1
03816616,29,6,23,0,1,1,0,1,1
03816999,8,5,3,0,0,0,0,0,0
03818176,32,4,28,0,1,1,0,1,1
03818182,20,2,18,0,3,3,0,0,1
03818321,24,4,20,0,1,1,0,1,1
03818324,19,5,14,0,1,1,0,1,1
03818327,27,4,23,0,1,1,0,1,1
03818330,19,4,15,0,1,1,0,1,1
03818982,23,0,23,0,1,1,0,1,1
03819961,10,4,6,0,1,1,0,1,1
03820149,6,2,4,0,1,1,0,0,1
03821546,14,2,12,0,2,2,0,0,1
03822618,26,4,22,0,0,0,0,0,1
03822808,9,6,3,0,5,5,0,1,0
03823129,35,12,23,0,0,0,0,0,0
03823580,22,0,22,0,0,0,0,0,1
03824159,16,2,14,0,2,1,1,0,0
03824818,25,7,18,0,0,0,0,0,0
03825041,13,4,9,0,1,1,0,1,1
03825262,29,5,24,0,2,2,0,2,1
03825437,9,2,7,0,2,1,1,0,1
03825499,12,4,8,0,0,0,0,0,1
03826071,6,3,3,0,1,1,0,0,0
03826797,33,10,23,0,1,1,0,1,1
03826898,6,0,6,0,0,0,0,0,1
03826915,6,0,6,0,0,0,0,0,1
03829309,7,4,3,0,1,1,0,1,1
03829341,15,4,11,0,1,1,0,1,1
03829460,27,5,22,0,1,1,0,0,1
03829462,35,9,26,0,1,1,0,1,1
03829464,7,0,7,0,0,0,0,0,1
03829466,22,3,19,0,0,0,0,0,1
03829467,17,3,14,0,1,1,0,1,1
03829468,25,3,22,0,1,1,0,1,1
03829469,26,3,23,0,1,1,0,1,1
03829472,17,3,14,0,1,1,0,1,1
03829473,30,5,25,0,3,3,0,3,1
03829481,17,4,13,0,3,1,2,1,1
03829615,15,3,12,0,1,1,0,1,1
03829852,8,1,7,0,0,0,0,0,1
03829939,18,3,15,0,1,1,0,1,1
03830104,4,1,3,0,1,1,0,0,1
03830335,68,2,66,0,2,1,1,0,1
03830687,10,2,8,0,1,1,0,0,0
03830974,11,0,11,0,0,0,0,0,1
03831070,10,1,9,0,1,1,0,0,0
03831711,18,6,12,0,5,5,0,0,0
03832821,11,0,11,0,0,0,0,0,1
03833210,5,1,4,0,1,1,0,0,1
03835495,4,2,2,0,2,2,0,0,1
03835617,33,4,29,0,4,4,0,4,1
03835994,4,0,4,0,1,1,0,0,1
03836106,32,9,23,0,0,0,0,0,0
