company_number,debt,equity
01029423,164258.0,100.0
07008134,40330.0,-25572.0
00176420,13839.0,354650.0
06562041,0.0,0.0
01065661,3974.0,4.0
03266580,3738.0,46591.0
08916300,178231.0,100.0
02737866,270555.0,100.0
07469616,8193.0,100.0
07555128,6080.0,8771.0
08874564,3477476.0,100.0
07306666,10387.0,25000.0
08272943,8618.0,-6069.0
08869409,0.0,100.0
06500428,400.0,6165.0
SC382702,1135850.0,100.0
SC533886,34690.0,14902.0
10329952,0.0,1.0
08126300,49457.0,1.0
03001965,0.0,0.0
06255972,23959.0,2.0
08747640,10707.0,100.0
02404792,9910.0,-9910.0
SC572927,0.0,100.0
08961460,109837.0,-84036.0
05800435,11381.0,1125.0
05935894,63208.0,60010.0
04579458,225553.0,1000.0
08240548,3358.0,-2872.0
07198613,81.0,36482.0
03600599,0.0,3.0
03459919,36416.0,1000.0
08167361,0.0,100.0
OC372615,1528.0,0.0
08551602,6673.0,12965.0
SC365033,0.0,100.0
10357700,0.0,100.0
08758457,26631.0,7690.0
04477510,0.0,1.0
04269439,0.0,18.0
09988600,33875.0,100.0
06028492,87343.0,2.0
01747139,1101420.0,1000.0
09869231,739.0,9401.0
02002504,0.0,0.0
07457884,24156.0,20506.0
06472273,30633.0,19388.0
05060852,0.0,3.0
01925502,12854.0,8518.0
05163086,64971.0,84195.0
07649308,53820.0,100.0
04998621,38266.0,11500.0
06302932,155852.0,100.0
06007230,19767.0,7920.0
NI051291,14192.0,2.0
10472306,9805.0,7693.0
02991471,0.0,1.0
09967032,0.0,1.0
08074373,86522.0,47522.0
05603442,105713.0,10000.0
04692993,235205.0,1.0
02819422,0.0,100.0
NI050776,22508.0,64300.0
04815973,0.0,11905.0
11024938,0.0,100.0
09080057,0.0,1.0
SC543910,63999.0,5282.0
09654079,0.0,100.0
NI073829,0.0,1.0
03870327,38364.0,10000.0
10086102,67121.0,100.0
05134743,0.0,1.0
06718964,0.0,97.0
02958846,3728.0,41505.0
09490008,0.0,0.0
05174395,48084.0,12.0
04243660,0.0,0.0
SC270595,121165.0,113954.0
06524842,-31341.0,0.0
04939524,120088.0,10.0
01529735,11619.0,10000.0
05181897,187550.0,100.0
03639612,115698.0,2.0
03450248,313198.0,40000.0
SC283043,10.0,1.0
09815232,21543.0,100.0
10964090,0.0,100.0
02433281,1070137.0,100.0
01603404,0.0,10719.0
07811511,0.0,0.0
09349299,450057.0,252988.0
SC418838,117716.0,66.0
10965403,7228.0,10.0
06072298,11290.0,11738.0
02738034,0.0,2.0
10036853,10682.0,26192.0
08195102,2156793.0,1.0
04359590,53499.0,3418.0
07559718,19062.0,60969.0
03949607,186624.0,737.0
03954514,62701.0,99.0
05070714,0.0,1.0
03223198,0.0,85.0
09244141,656.0,83899.0
05966601,16167.0,100.0
04201625,0.0,1.0
11074077,0.0,2.0
01365721,0.0,3.0
03002007,0.0,1.0
06902761,28662.0,100.0
08922611,120063.0,7591.0
10657959,3472.0,100.0
02419432,0.0,17541.0
03897919,188672.0,225000.0
09408585,19171.0,1.0
08385527,0.0,1.0
06330951,0.0,4.0
05261662,39560.0,1.0
07949801,63815.0,100.0
SC228015,578073.0,103.0
06592478,99210.0,-99210.0
01029563,16262.0,0.0
09482853,0.0,1.0
08231682,8497.0,6518.0
08551604,0.0,2.0
08966580,40095.0,10.0
09087514,16671.0,-61827.0
06187783,41694.0,2.0
SC513979,249975.0,5334.0
05784041,317663.0,60.0
08129746,7728.0,-7027.0
10346822,0.0,2.0
10460902,539815.0,100.0
10471341,1958.0,3371.0
09987167,0.0,1.0
01204384,0.0,13022.0
SC072348,776498.0,52594.0
